"","Gene","Rep2","FPKM.cellexpress","LOG.FPKM.0.01.","Curve"
"801","FBgn0278604",-5.4885,22,"1.34262004255335",1
"459","FBgn0263603",-5.4876,32,"1.50528567414413",1
"514","FBgn0000568",-5.487,43.10715,"1.63465004670143",1
"714","FBgn0051453",-5.4869,63.0974,"1.80008028778192",1
"532","FBgn0087013",-5.4863,208.586,"2.31930597621619",1
"838","FBgn0034569",-5.4826,16.665,"1.22206584258859",1
"439","FBgn0020653",-5.48,381.97,"2.58204062438546",1
"834","FBgn0001491",-5.4763,20.3282,"1.30831251374605",1
"653","FBgn0033669",-5.4742,91.3511,"1.96076131989755",1
"765","FBgn0260798",-5.4697,8.709355,"0.940484359898017",1
"582","FBgn0037892",-5.4649,23.8528,"1.37772140132946",1
"543","FBgn0040011",-5.4576,25.476,"1.40630167877078",1
"978","FBgn0031830",-5.4564,136.6095,"2.1355126915709",1
"1026","FBgn0040009",-5.4556,8.001075,"0.903690797637597",1
"518","FBgn0086785",-5.445,22.0515,"1.34363503755005",1
"792","FBgn0015320",-5.4401,54.3427,"1.7352211227733",1
"1115","FBgn0037603",-5.4384,33.7223,"1.52804595409326",1
"723","FBgn0267398",-5.4329,66.5,"1.82288694783415",1
"2720","FBgn0030507",-5.4298,20.1635,"1.30478125264114",1
"456","FBgn0034728",-5.4254,27.4981,"1.43946059446049",1
"333","FBgn0035878",-5.4241,79.84355,"1.90229422806549",1
"2212","FBgn0040773",-5.4206,212.286,"2.32694181143263",1
"1250","FBgn0037382",-5.4171,18.42955,"1.26575031829562",1
"1094","FBgn0025286",-5.4167,4257.095,"3.62911436203014",1
"712","FBgn0033879",-5.4148,281.099,"2.44887475022418",1
"842","FBgn0036184",-5.4136,16.9391,"1.22914664204288",1
"930","FBgn0027085",-5.4124,18.9724,"1.27835112067625",1
"1785","FBgn0250786",-5.409,27.2205,"1.43505561582573",1
"3056","FBgn0067102",-5.4082,30.67425,"1.4869155125037",1
"1339","FBgn0030243",-5.4054,26.0788,"1.4164541034251",1
"478","FBgn0037924",-5.4042,11.48325,"1.06044285353469",1
"767","FBgn0040228",-5.4031,22.31615,"1.34881383825672",1
"1579","FBgn0014380",-5.4002,74.12215,"1.87000659582653",1
"1542","FBgn0027873",-5.3976,18.73615,"1.27291208777355",1
"1735","FBgn0039859",-5.3941,8.614095,"0.935713531904414",1
"918","FBgn0037920",-5.3887,4.8118,"0.683209192624236",1
"759","FBgn0001276",-5.3848,11.973105,"1.07856936476824",1
"2299","FBgn0030720",-5.3828,47.719,"1.67878233528744",1
"1464","FBgn0013548",-5.3748,24.0011,"1.38041205647465",1
